Club Name,2020-2021 net spend,19-20 league position,2019-2020 net spend,18-19 league position,2018 - 2019 net spend,17-18 league position,2017-2018 net spend,16-17 league position,2016-2017 net spend,15-16 league position,2015-2016 net spend
Arsenal,-60.62,8,-96.08,5,-65.03,6,4.64,5,-92.42,2,-21.60
Aston Villa,-74.12,17,-139.59,,N/A,,N/A,,N/A,20,-1.67
Brighton,-2.61,15,-60.70,17,-67.59,15,-59.94,,N/A,,N/A
Burnley,-0.99,10,-5.27,15,-22.50,7,12.83,16,-39.96,,N/A
Chelsea,-154.08,4,101.04,3,-122.90,5,-53.91,1,-21.51,10,-8.11
Palace,1.98,14,43.00,12,-10.35,11,-41.36,14,-45.99,15,-21.06
Everton,-63.40,12,-36.45,8,-64.04,8,-69.14,7,-22.68,11,-34.11
Fulham,-29.57,,N/A,19,-100.04,,N/A,,N/A,,N/A
Leeds ,-96.10,,N/A,,N/A,,N/A,,N/A,,N/A
Leicester,-9.20,5,-14.22,9,-16.92,9,-34.29,12,-23.00,1,-36.41
Liverpool,-34.02,1,28.08,2,-126.79,4,18.56,4,4.93,8,-32.36
City,-85.64,2,-88.04,1,-18.89,1,-203.54,3,-161.69,4,-126.68
United,-61.65,3,-120.24,6,-46.94,2,-137.61,6,-123.98,5,-48.54
Newcastle,-34.63,13,-33.53,13,-7.83,10,-22.75,,N/A,18,-92.05
Sheffield,-56.43,9,-64.04,,N/A,,N/A,,N/A,,N/A
Southampton,-12.60,11,-28.17,16,-34.61,17,33.39,8,14.54,6,-6.66
Spurs,-76.59,6,-75.60,4,4.82,3,-15.93,2,-28.08,3,14.92
West Brom,-15.48,,N/A,,N/A,20,-46.31,10,-9.83,14,-26.98
West Ham,0.54,16,-58.70,10,-77.43,13,11.00,11,-38.25,7,-30.77
Wolves,-1.44,7,-87.93,7,-80.06,,N/A,,N/A,,N/A
